TacGia,NoiDung,URLBaiViet,NgayTao,BinhLuan,TongSoBinhLuan
EmpatheticNectarine3928,"Sao nhìn mí bà con gái chơi chung dí nhau dui quá à, tui cũng muốn được như dị, tui cũng muốn có bạn",https://www.facebook.com/groups/mku.cfs/posts/2217887175618085/,2026-05-07T15:16:05.508Z,"Người tham gia ẩn danh 595: Thấy mấy bn chơi vs nhau vui quá .cx muốn có bn như máy bn , mình hướng nội ko bt bắt chuyện ntn luoonnn...haizzz | OrangeNectarine9438: mình nói chuyện là lát quen liền hà | Người tham gia ẩn danh 663: Cho ké với ạ | Mỹ Hương: Thuy Huynh | Người tham gia ẩn danh 799: Bà học khoa nào dọ | Ng Ngọc Như Ýy: Mai HânNguyễn NgọcVie Vie kết bạn liền đi bà | Tú Em: tui nè | Lê Thị Thảo Trinh: cf làm quen vội | GorgeousPeapod3543: Nữ hả kp đi chơi chung nè | Hoài Thanh Xuân: Tutu cũng sẽ có thôi b10",10
MagicalLynx6532,"Dạ mọi người có ai có đề thi môn sát xuất thống kê, nguyên lí kế toán,  kinh tế vĩ mô của mấy năm trc cho em xin với ạ",https://www.facebook.com/groups/mku.cfs/posts/2217856035621199/,2026-05-07T15:16:05.508Z,Mưa Bay: Chị chỉ có XSTK e lấy ko e | Utt Zauu: Mưa Bay chị rep e vs ạ | Mưa Bay: Utt Zauu ok e3,3
Ẩn danh,trường có ai chơi game này ko nhỉ?,https://www.facebook.com/groups/mku.cfs/posts/2217815272291942/,2026-05-07T15:16:05.508Z,"Ground NK: The Vinh Quach Anh Phuong | LoyalParsnip1471: Có tui cx có chs nek :33 | Ngọc Trâm: tui chơi á | gyliss.05: bạn ui cho mình hỏi một xíu là game này kh nạp có chơi được hông á, kiểu có buộc nạp để mở thêm tính năng hông hay công bằng cho cả cày chay và nạp game (ngoại trừ vde trang phục) | Người tham gia ẩn danh: gyliss.05 cày chay dư sức có skin đẹp bn ơi | Tran Huynh Anh Thư: kb dới e nèe | Người tham gia ẩn danh 843: Có tui nè | Cá Ngựa UCL: Pai Pai m đăng đk | Morpheus-K26: Cá Ngựa UCL nope9",9
BrilliantReindeer1224,Pass tủ lạnh mini 580k 0939497491lh ạ,https://www.facebook.com/groups/mku.cfs/posts/2217575898982546/,2026-05-07T15:16:05.508Z,Người tham gia ẩn danh 341: Quoc Anh bú đi | Người tham gia ẩn danh 344: Tủ lạnh còn k ạ | Lap Ttop: nó có ăn điện kh b | Ngân Kim Phan: Mai Hân | Đăng Khoa: Cho xin zalo | NAM_HỌC_LUẬT: Cho xin sdt ạ | Tuấn Kiệt: Chụp gốc rộng xíu đc hong b | Nguyễn Hữu Trí: Ib mk lấy | Vũ Bằngg: Tâm Huy | Người tham gia ẩn danh 798: Lê Thị Thanh Ngânn10,10
OptimisticFlamingo7132,bây giờ có ai đi bida kh tui chở,https://www.facebook.com/groups/mku.cfs/posts/2217593955647407/,2026-05-07T15:16:05.508Z,Người tham gia ẩn danh 305: Hữu Vinh ib bn này nhận mọi loại kèo bida | Văn Công Thành: lổ líp ib | Đăng Khoa: Ngô Thành lụm3,3
HumbleRaccoon1280,ai biết trọ trống gửi thông tin em xin với ạ,https://www.facebook.com/groups/mku.cfs/posts/2217318975674905/,2026-05-07T15:16:05.508Z,"Công Danh: Trọ chú 10 | học_nông_học: mình tìm bạn nữ ở ghép, mình để đồ đạc trên gác, k ở nhà, 1tr2 share tiền đầy đủ, cách trường 4km ib 0945794949 | PassionateFox9327: Cầu ông me nhỏ dc thi de lai so | KnowledgeableCelery4229: tui cũng kiếm trọ | bemeonho1911: Gần cầu đường chừa có trọ trống nè5",5
Minh Nguyệt," CLB NOVA TUYỂN BÌNH LUẬN GAME & THÀNH VIÊN 
[1. VỊ TRÍ: CASTER – BÌNH LUẬN GAME]
 Số lượng: 2 bạn
Bạ… Xem thêm",https://www.facebook.com/groups/mku.cfs/posts/2217312689008867/,2026-05-07T15:16:05.508Z,0,0
BreathtakingBee5279,Giờ này có ai ship trà sữa hk em muốn mua 2 ly,https://www.facebook.com/groups/mku.cfs/posts/2217290839011052/,2026-05-07T15:16:05.508Z,"Người tham gia ẩn danh 613: Khánh Nguyên Fruits giờ quán còn mở cửa kh áaa | Khánh Nguyên Fruits: Người tham gia ẩn danh 613 dạ còn | Khánh Nguyên Fruits: đây mình đây | Nguyễn Tùng: 3 ly đi , tặng mình 1 lý đc hem4",4
Tăng Nhựt Huy,"Mình có nhận dạy thêm Drum (trống jazz)
Giáo trình bài bản Lý thuyết và thực hành
Cơ bản đến nâng cao theo lộ trình từng cá nhân
Các bạn đam mê âm nhạc liên hệ mình nhé !
Sdt,zalo: 0798905168",https://www.facebook.com/groups/mku.cfs/posts/2217284662345003/,2026-05-07T15:16:05.508Z,"Phan Sỹ Khang: Lênnnn | Nguyen Tuan Kha: Thanh Thúy cho anh họccccc | Tăng Nhựt Huy: Nguyen Tuan Kha anh dạy tại nhà gần ĐHCL, học phí ưu đãi cho các bạn sinh vên! ib anh gửi chi tiết nhaaaa3",3
JoyfulLlama6956,Tìm nguoii làm bài nghiên cứu khoa học giá iu thuong,https://www.facebook.com/groups/mku.cfs/posts/2217287349011401/,2026-05-07T15:16:05.508Z,"Phạm Như Huỳnh: Yen Nhi đăng kí đi r chạy spss | Người tham gia ẩn danh 247: Mua cho đứa giỏi nhất lớp bạn 2 ly trà sữa rồi nhờ nó viết dàn bài hộ,xong tự viết đi cha cho nó an toàn2",2
AmbitiousFish5064,"Bn mik nói bạn cám dthw quá muốn xin in4 bạn cám, ai có in4 bn cám cho bạn mik xin vớiiiii",https://www.facebook.com/groups/mku.cfs/posts/2217220365684766/,2026-05-07T15:16:05.508Z,Đang Huy: Huỳnh Lê Công Nhật làm gì vậy | Người tham gia ẩn danh 368: m hỏi đúng hong!! | tatcacacemlacuaanh: Sao ko chạy lên sk xin luonnn | GrayCaterpillar4046: Giangg Giangg ai kiếm bà kìa | Ai__lò_ve_du: Hỏi bạn Cám đê | Huỳnh Lê Công Nhật: Cl6,6
thodangyeu816,"có ai muốn mua laptop cũ không ạ?
mình cần bán laptop dell core i3 màn hình 15.6 á, để lại zalo mình liên hệ nếu các bạn cần á, giá trao đổi qua inb nhe",https://www.facebook.com/groups/mku.cfs/posts/2217215522351917/,2026-05-07T15:16:05.508Z,Phúc Hạnh: Ib nhé 0901245179 | Minh Nhựt: 0775751900 | thodangyeu816: Minh Nhựt đã inb | thodangyeu816: mình cho các bạn test kiểm tra ok hết thì mới lấy tiền á4,4
AmbitiousFish5064,"Qua gặp bn này ngủ trong thang máy nay lại gặp bn ngủ ở HT6 mà vẫn chưa tìm được in4 bn, bạn nào có in4 bạn này cho mik xin với",https://www.facebook.com/groups/mku.cfs/posts/2217195442353925/,2026-05-07T15:16:05.508Z,Người tham gia ẩn danh 485: Chắc tự đăng kiếm in4 mình quá | Huỳnh Lê Công Nhật: Khổ | AmbitiousFish5064: Huỳnh Lê Công Nhật bn sắp hot r | Lê Hậu: Huỳnh Lê Công Nhật nay nổi tiếng z m | AmbitiousFish5064: Lê Hậu ah nhật của t mà mậy | Nguyễn Huỳnh Như: Huỳnh Lê Công Nhật lm phiền cfs hả má | Huỳnh Lê Công Nhật: Nguyễn Huỳnh Như cái j nx z fen7,7
Hoàng Phương," CHÍNH THỨC BẮT ĐẦU – DEAL SỐC 19K 
Không phải đùa đâu…
 Hôm nay Meo Meo chính thức chạy ưu đãi chỉ 19K 
 Áp dụng trong 2 NGÀY DUY NHẤT
Xem thêm",https://www.facebook.com/groups/mku.cfs/posts/2217148165691986/,2026-05-07T15:16:05.508Z,Vy Nguyễn: Xuống liền mình ơi | thíchmatchalattte: nhìn ngon v tr | Phương Nghi: Kiều Diệp | Bao Nghi: ngon quá anh ơi | Quoc Duy: Mấy đứa bán khúc nào vậy | Phan Tấn Đạt: tui kinh nghiệm 25 năm ăn bánh tráng trộn nè | Phan Tấn Đạt: mộng kha cho test miễn phí hã | Người tham gia ẩn danh 367: Có ship hong | Hoàng Phương: Vẫn còn ưu đãi mn ủng hộ quán mình với nha9,9
